date,close
05/22/08,177.05
05/21/08,178.19
05/20/08,185.9
05/19/08,183.6
05/16/08,187.62
05/15/08,189.73
05/14/08,186.26
05/13/08,189.96
05/12/08,188.16
05/09/08,183.45
05/08/08,185.06
05/07/08,182.59
05/06/08,186.66
05/05/08,184.73
05/02/08,180.94
05/01/08,180
04/30/08,173.95
04/29/08,175.05
04/28/08,172.24
04/25/08,169.73
04/24/08,168.94
04/23/08,162.89
04/22/08,160.2
04/21/08,168.16
04/18/08,161.04
04/17/08,154.49
04/16/08,153.7
04/15/08,148.38
04/14/08,147.78
04/11/08,147.14
04/10/08,154.55
04/09/08,151.44
04/08/08,152.84
04/07/08,155.89
04/04/08,153.08
04/03/08,151.61
04/02/08,147.49
04/01/08,149.53
03/31/08,143.5
03/28/08,143.01
03/27/08,140.25
03/26/08,145.06
03/25/08,140.98
03/24/08,139.53
03/20/08,133.27
03/19/08,129.67
03/18/08,132.82
03/17/08,126.73
03/14/08,126.61
03/13/08,127.94
03/12/08,126.03
03/11/08,127.35
03/10/08,119.69
03/07/08,122.25
03/06/08,120.93
03/05/08,124.49
03/04/08,124.62
03/03/08,121.73
02/29/08,125.02
02/28/08,129.91
02/27/08,122.96
02/26/08,119.15
02/25/08,119.74
02/22/08,119.46
02/21/08,121.54
02/20/08,123.82
02/19/08,122.18
02/15/08,124.63
02/14/08,127.46
02/13/08,129.4
02/12/08,124.86
02/11/08,129.45
02/08/08,125.48
02/07/08,121.24
02/06/08,122
02/05/08,129.36
02/04/08,131.65
02/01/08,133.75
01/31/08,135.36
01/30/08,132.18
01/29/08,131.54
01/28/08,130.01
01/25/08,130.01
01/24/08,135.6
01/23/08,139.07
01/22/08,155.64
01/18/08,161.36
01/17/08,160.89
01/16/08,159.64
01/15/08,169.04
01/14/08,178.78
01/11/08,172.69
01/10/08,178.02
01/09/08,179.4
01/08/08,171.25
01/07/08,177.64
01/04/08,180.05
01/03/08,194.93
01/02/08,194.84
12/31/07,198.08
12/28/07,199.83
12/27/07,198.57
12/26/07,198.95
12/24/07,198.8
12/21/07,193.91
12/20/07,187.21
12/19/07,183.12
12/18/07,182.98
12/17/07,184.4
12/14/07,190.39
12/13/07,191.83
12/12/07,190.86
12/11/07,188.54
12/10/07,194.21
12/07/07,194.3
12/06/07,189.95
12/05/07,185.5
12/04/07,179.81
12/03/07,178.86
11/30/07,182.22
11/29/07,184.29
11/28/07,180.22
11/27/07,174.81
11/26/07,172.54
11/23/07,171.54
11/21/07,168.46
11/20/07,168.85
11/19/07,163.95
11/16/07,166.39
11/15/07,164.3
11/14/07,166.11
11/13/07,169.96
11/12/07,153.76
11/09/07,165.37
11/08/07,175.47
11/07/07,186.3
11/06/07,191.79
11/05/07,186.18
11/02/07,187.87
11/01/07,187.44
10/31/07,189.95
10/30/07,187
10/29/07,185.09
10/26/07,184.7
10/25/07,182.78
10/24/07,185.93
10/23/07,186.16
10/22/07,174.36
10/19/07,170.42
10/18/07,173.5
10/17/07,172.75
10/16/07,169.58
10/15/07,166.98
10/12/07,167.25
10/11/07,162.23
10/10/07,166.79
10/09/07,167.86
10/08/07,167.91
10/05/07,161.45
10/04/07,156.24
10/03/07,157.92
10/02/07,158.45
10/01/07,156.34
09/28/07,153.47
09/27/07,154.5
09/26/07,152.77
09/25/07,153.18
09/24/07,148.28
09/21/07,144.15
09/20/07,140.31
09/19/07,140.77
09/18/07,140.92
09/17/07,138.41
09/14/07,138.81
09/13/07,137.2
09/12/07,136.85
09/11/07,135.49
09/10/07,136.71
09/07/07,131.77
09/06/07,135.01
09/05/07,136.76
09/04/07,144.16
08/31/07,138.48
